Product,Month,Code
WTI,1,PCACG00
WTI,2,PCACH00
WTI,3,AAGIT00
WTI_EFP,1,AAGVT00
WTI_EFP,2,AAGVU00
WTI_EFP,3,AAGVV00
Light_Houston,1,AAXEW00
Light_Houston,2,AAYRY00
LOOP_Sour,1,AALSM01
LOOP_Sour,2,AALSM02
LOOP_Sour,3,AALSM03
Eagle_Ford_Marker,1,AAYAJ00
Mars,1,AAMBR00
Mars,2,AAMBU00
Mars,3,AAMBX00
Mars/WTI,1,AAGWH00
Mars/WTI,2,AAKTH00
Mars/WTI,3,AAMBO00
LOOP/WTI,1,AALOM01
LOOP/WTI,2,AALOM02
LOOP/WTI,3,AALOM03
LOOP/Mars,1,AALPM01
LOOP/Mars,2,AALPM02
LOOP/Mars,3,AALPM03
Dated_brent,1,AAQBF00
P-Plus_WTI,1,PCACI00
P-5_WTI,1,AAFEN00
WTI-Delta,1,AAEJK00
Kern_River,1,PCABJ00
